Movimientos Turísticos en Fronteras
Resultados nacionales
Número de turistas según país de residencia
Unidades: Personas
,2020M09,2020M08,2020M07,2020M06,2020M05,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01,2018M12,2018M11,2018M10,2018M09,2018M08,2018M07,2018M06,2018M05,2018M04,2018M03,2018M02,2018M01,2017M12,2017M11,2017M10,2017M09,2017M08,2017M07,2017M06,2017M05,2017M04,2017M03,2017M02,2017M01,2016M12,2016M11,2016M10,2016M09,2016M08,2016M07,2016M06,2016M05,2016M04,2016M03,2016M02,2016M01,2015M12,2015M11,2015M10,
Total,
    Dato base,1.140.186,2.442.999,2.464.441,204.926,0,0,2.018.323,4.423.576,4.138.371,4.304.741,4.655.021,7.587.749,8.845.152,10.118.366,9.873.270,8.833.893,7.919.204,7.146.033,5.649.577,4.380.504,4.195.641,4.354.798,4.536.873,7.649.860,8.932.308,10.175.761,10.020.246,8.554.306,8.086.048,6.780.378,5.393.186,4.218.047,4.106.601,3.982.530,4.392.575,7.269.931,8.877.270,10.397.745,10.493.438,8.431.975,8.002.648,7.081.594,4.913.943,4.119.137,3.905.736,3.990.446,4.098.262,7.137.723,7.932.607,10.027.471,9.545.792,7.552.758,7.111.154,6.086.327,4.627.206,3.678.726,3.526.537,3.512.914,3.754.802,6.432.341,
Alemania,
    Dato base,90.495,298.217,432.302,33.740,0,0,277.862,542.495,493.711,495.062,569.008,1.126.442,1.265.644,1.130.065,1.243.087,1.295.337,1.085.570,1.072.814,809.144,548.064,517.785,537.026,575.223,1.229.193,1.363.598,1.261.896,1.281.415,1.206.593,1.180.827,917.613,823.232,536.034,502.305,481.391,592.676,1.223.097,1.404.947,1.341.709,1.385.774,1.419.474,1.190.326,1.138.904,718.709,518.185,482.184,456.142,545.434,1.280.465,1.292.163,1.366.503,1.296.255,1.222.455,1.192.192,866.532,737.620,483.878,469.017,401.150,510.192,1.067.611,
Bélgica,
    Dato base,39.983,119.284,154.826,9.608,0,0,65.970,132.630,118.988,129.864,139.559,183.385,267.754,306.038,385.358,245.796,204.034,242.254,178.684,122.700,120.461,115.299,138.519,196.418,258.322,298.838,397.051,226.520,213.616,249.303,156.116,123.761,131.383,122.783,132.832,197.532,281.477,301.614,422.876,206.755,229.497,218.630,137.961,112.805,109.958,102.695,128.386,170.744,216.837,315.018,417.082,199.187,201.928,174.938,148.582,116.367,109.863,103.653,121.438,156.458,
Francia,
    Dato base,389.773,863.665,597.244,64.895,0,0,288.903,580.121,480.364,552.553,574.259,893.084,984.031,2.019.857,1.436.108,958.217,1.020.302,1.019.617,676.480,566.827,446.062,553.866,477.488,910.512,1.043.434,2.114.381,1.388.735,895.721,1.146.661,1.080.895,647.445,545.120,489.063,552.099,536.506,840.631,984.552,2.041.073,1.556.913,857.190,1.080.860,1.137.148,615.336,600.228,464.734,608.018,533.056,933.819,976.503,2.172.343,1.513.745,823.641,1.060.300,1.083.531,549.879,531.144,472.562,567.048,605.893,964.469,
Irlanda,
    Dato base,15.557,25.758,31.323,.,0,0,38.949,96.032,85.375,83.633,94.334,195.168,253.182,266.927,286.096,282.177,237.509,173.919,124.441,90.556,89.650,93.838,85.430,197.182,236.984,222.755,268.390,269.507,229.976,164.830,118.310,85.754,80.430,82.879,95.627,179.191,222.057,232.183,300.461,263.682,230.113,179.189,97.536,78.412,84.791,76.925,91.096,187.289,220.140,224.548,222.677,222.725,188.634,125.848,110.303,69.114,69.169,59.601,66.710,143.378,
Italia,
    Dato base,59.611,137.978,103.650,10.426,0,0,69.894,249.262,233.589,305.220,294.195,323.855,431.263,671.330,481.829,405.887,403.175,388.321,320.311,263.903,245.224,297.914,287.656,324.470,467.229,636.112,490.594,420.236,342.494,347.141,283.169,233.046,259.393,261.413,255.504,303.950,386.059,649.424,515.237,408.387,365.256,347.714,265.201,210.541,254.180,262.757,234.531,292.811,345.530,669.959,449.455,394.281,319.683,306.745,248.525,219.179,225.865,239.878,211.530,262.178,
Países Bajos,
    Dato base,33.624,151.308,189.995,12.321,0,0,94.969,201.503,163.329,163.930,182.139,337.848,375.562,454.867,508.260,395.792,426.675,296.074,221.834,168.722,152.557,153.905,166.221,376.098,382.511,502.545,537.542,404.676,446.583,324.884,227.053,172.552,160.700,134.242,165.527,363.241,379.013,528.911,563.122,350.954,421.259,283.275,199.662,168.291,147.053,140.414,145.803,304.075,321.168,477.827,508.443,306.457,380.876,321.507,175.242,148.557,124.662,134.481,127.758,290.035,
Países Nórdicos,
    Dato base,36.095,47.990,95.263,3.965,0,0,164.028,393.432,342.118,364.141,424.650,562.666,480.401,391.171,662.151,497.735,431.764,450.295,493.878,392.980,378.280,374.348,409.266,556.384,467.916,398.674,765.737,541.184,475.760,463.226,504.352,420.378,426.310,396.602,435.826,584.930,498.100,431.136,757.074,504.068,496.039,473.229,455.820,410.377,383.348,365.635,400.748,538.452,409.879,349.532,656.881,409.531,359.162,399.954,449.035,398.662,391.552,339.403,363.392,507.661,
Portugal,
    Dato base,69.967,112.767,90.022,.,0,0,69.699,175.949,130.405,136.294,123.350,174.778,256.227,389.692,256.503,229.556,159.476,231.213,184.721,145.289,141.690,149.171,161.192,185.346,239.695,375.260,263.732,197.373,161.734,200.992,150.281,143.291,116.255,142.332,135.089,151.995,212.172,345.464,269.867,193.478,132.494,215.631,116.401,123.007,99.950,121.732,119.243,174.223,209.792,308.361,237.412,198.076,137.558,145.539,143.662,104.442,96.123,115.301,90.633,136.812,
Reino Unido,
    Dato base,161.899,256.528,377.886,8.473,0,0,397.117,907.321,718.248,786.044,872.392,1.643.636,2.094.377,2.172.298,2.154.808,2.074.006,1.950.529,1.461.671,1.109.683,885.676,807.362,856.447,934.572,1.732.143,2.110.577,2.248.604,2.214.662,2.173.824,1.983.454,1.422.435,1.184.251,863.704,799.284,812.153,911.187,1.658.268,2.173.773,2.323.782,2.327.431,2.185.425,2.066.225,1.507.935,1.123.087,919.566,797.942,880.670,866.957,1.654.697,1.995.183,2.248.819,2.166.552,2.088.747,1.794.232,1.423.065,1.058.312,805.843,692.291,758.202,770.874,1.563.317,
Rusia,
    Dato base,.,.,.,.,0,0,21.386,46.502,64.262,52.703,53.368,104.958,165.380,177.019,183.441,182.043,123.984,83.726,70.851,49.956,66.650,60.591,53.863,90.668,164.321,176.076,174.914,170.552,91.104,73.575,55.937,47.935,67.994,51.567,51.893,80.793,151.099,171.799,185.668,150.092,82.499,67.226,49.303,44.640,63.477,45.102,41.379,78.009,129.200,160.554,150.320,131.166,78.032,54.845,42.001,34.455,59.514,40.739,50.384,62.414,
Suiza ,
    Dato base,18.381,47.578,83.860,3.610,0,0,37.661,85.080,76.210,88.968,91.331,210.047,199.550,196.316,247.378,190.718,131.098,175.457,114.059,88.945,78.000,96.415,106.684,200.112,211.919,179.311,273.581,159.264,191.905,176.900,108.945,85.915,92.196,94.798,105.400,249.547,203.617,218.783,276.514,195.246,173.210,216.142,115.620,114.652,95.671,91.721,98.907,211.558,169.488,164.190,236.705,169.307,153.471,153.333,101.243,75.023,78.534,81.370,91.820,181.527,
Resto de Europa,
    Dato base,131.692,234.043,177.896,21.330,0,0,163.504,368.760,363.739,346.405,383.600,598.012,681.821,686.542,712.534,694.440,616.029,526.060,432.480,394.226,369.273,342.320,366.391,547.000,689.886,641.511,731.277,657.468,551.401,443.967,369.810,329.451,333.146,255.006,332.524,475.020,659.547,649.326,724.318,554.570,495.635,432.908,375.452,300.718,287.987,283.374,331.553,473.076,594.254,571.136,602.731,515.615,433.116,374.274,342.955,245.245,259.633,228.954,273.428,368.885,
Estados Unidos de América,
    Dato base,9.709,12.498,14.943,.,0,0,81.672,123.694,142.279,174.682,217.435,304.838,363.472,274.194,424.512,434.190,344.081,258.668,245.642,134.549,148.607,165.259,186.385,303.563,309.146,252.804,358.464,397.104,318.279,231.626,206.825,111.260,118.772,128.530,154.266,244.060,321.304,232.819,316.982,349.657,282.968,216.435,192.300,99.612,98.550,116.122,119.530,185.856,228.566,186.638,275.329,273.590,195.801,136.351,132.024,78.965,73.040,92.352,105.205,189.891,
Resto América,
    Dato base,50.971,55.385,40.822,.,0,0,136.581,237.255,305.853,236.741,226.741,396.760,424.042,345.582,372.981,370.334,374.846,293.192,264.724,206.506,254.827,203.512,224.808,337.283,364.492,302.021,358.525,325.072,355.114,264.344,228.902,205.773,241.214,191.506,209.297,312.762,392.102,302.425,341.512,323.603,324.824,253.405,167.000,168.197,241.898,169.939,166.440,269.827,297.858,264.711,301.709,251.558,251.011,189.682,133.185,118.069,158.072,126.957,122.747,217.625,
Resto del Mundo,
